[INFO ] 2021-05-21 13:05:12.200 [main] Configuration - Successfully finished creating the database!
[INFO ] 2021-05-21 13:05:12.889 [main] Configuration - Successfully connected to my-persistence-unit
[INFO ] 2021-05-21 13:05:12.922 [main] Configuration - Successfully finished creating factory and manager!
[INFO ] 2021-05-21 13:05:12.922 [main] Configuration - Successfully finished the configuration of the application!
[INFO ] 2021-05-21 13:05:12.998 [main] MainDAO - Successfully persisted object with class name Admin
[INFO ] 2021-05-21 13:05:13.104 [main] MainDAO - Successfully persisted object with class name Description
[INFO ] 2021-05-21 13:05:13.111 [main] MainDAO - Successfully persisted object with class name Description
[INFO ] 2021-05-21 13:05:13.118 [main] MainDAO - Successfully persisted object with class name Description
[INFO ] 2021-05-21 13:05:13.123 [main] MainDAO - Successfully persisted object with class name Description
[INFO ] 2021-05-21 13:05:13.130 [main] MainDAO - Successfully persisted object with class name Description
[INFO ] 2021-05-21 13:05:13.135 [main] MainDAO - Successfully persisted object with class name Description
[INFO ] 2021-05-21 13:05:13.141 [main] MainDAO - Successfully persisted object with class name Description
[INFO ] 2021-05-21 13:05:13.147 [main] MainDAO - Successfully persisted object with class name Description
[INFO ] 2021-05-21 13:05:13.154 [main] MainDAO - Successfully persisted object with class name Description
[INFO ] 2021-05-21 13:05:13.160 [main] MainDAO - Successfully persisted object with class name Description
[INFO ] 2021-05-21 13:05:13.165 [main] MainDAO - Successfully persisted object with class name Description
[INFO ] 2021-05-21 13:05:13.170 [main] MainDAO - Successfully persisted object with class name Description
[INFO ] 2021-05-21 13:05:13.177 [main] MainDAO - Successfully persisted object with class name Description
[INFO ] 2021-05-21 13:05:13.182 [main] MainDAO - Successfully persisted object with class name Description
[INFO ] 2021-05-21 13:05:13.187 [main] MainDAO - Successfully persisted object with class name Description
[INFO ] 2021-05-21 13:05:13.191 [main] MainDAO - Successfully persisted object with class name Description
[INFO ] 2021-05-21 13:05:13.196 [main] MainDAO - Successfully persisted object with class name Description
[INFO ] 2021-05-21 13:05:13.202 [main] MainDAO - Successfully persisted object with class name Description
[INFO ] 2021-05-21 13:05:13.207 [main] MainDAO - Successfully persisted object with class name Description
[INFO ] 2021-05-21 13:05:13.211 [main] MainDAO - Successfully persisted object with class name Description
[INFO ] 2021-05-21 13:05:13.216 [main] MainDAO - Successfully persisted object with class name Description
[INFO ] 2021-05-21 13:05:13.223 [main] MainDAO - Successfully persisted object with class name Description
[INFO ] 2021-05-21 13:05:13.227 [main] MainDAO - Successfully persisted object with class name Description
[INFO ] 2021-05-21 13:05:13.231 [main] MainDAO - Successfully persisted object with class name Description
[INFO ] 2021-05-21 13:05:13.236 [main] MainDAO - Successfully persisted object with class name Description
[INFO ] 2021-05-21 13:05:13.241 [main] MainDAO - Successfully persisted object with class name Description
[INFO ] 2021-05-21 13:05:13.245 [main] MainDAO - Successfully persisted object with class name Description
[INFO ] 2021-05-21 13:05:13.250 [main] MainDAO - Successfully persisted object with class name Description
[INFO ] 2021-05-21 13:05:13.254 [main] MainDAO - Successfully persisted object with class name Description
[INFO ] 2021-05-21 13:05:13.258 [main] MainDAO - Successfully persisted object with class name Description
[INFO ] 2021-05-21 13:05:13.264 [main] MainDAO - Successfully persisted object with class name Color
[INFO ] 2021-05-21 13:05:13.267 [main] MainDAO - Successfully persisted object with class name Color
[INFO ] 2021-05-21 13:05:13.270 [main] MainDAO - Successfully persisted object with class name Color
[INFO ] 2021-05-21 13:05:13.273 [main] MainDAO - Successfully persisted object with class name Color
[INFO ] 2021-05-21 13:05:13.276 [main] MainDAO - Successfully persisted object with class name Color
[INFO ] 2021-05-21 13:05:13.280 [main] MainDAO - Successfully persisted object with class name Color
[INFO ] 2021-05-21 13:05:13.283 [main] MainDAO - Successfully persisted object with class name Color
